id,category,requirement,source,evidence,rendered_evidence,status,severity,correction,dependency
IA-06,Information architecture,"Events & Media destination, not TEDx-only.",Transcript 165-182; Register 2 Media,/media exists; navigation says Events & Media.,Not independently rendered in this audit,Exact match,Low,No change.,None
IA-07,Information architecture,TEDx should not be a large homepage section; it belongs under Media.,Transcript 297-302; later explicit decision; Register conflict rule,Homepage has only a generic Events & Media bridge; TEDx-specific content is on /media.,Not independently rendered in this audit,Exact match,Low,No change.,None
IA-08,Information architecture,Community contains signup and movement actions.,Transcript 457-470; Register 2 Community,/community includes signup and Learn/Reduce/Share/Advocate pillars.,Not independently rendered in this audit,Exact match,Low,No change.,None
IA-09,Information architecture,Community should offer a discoverable inquiry/contact path.,Transcript 483-486; Register 2 Community,Community page has no contact or media-inquiry CTA; contact is available only through global footer/navigation context.,Not independently rendered in this audit,Missing,Medium,Add a concise Ask a question / Media inquiry link without duplicating navigation.,None
IA-10,Information architecture,"Separate Contact route for ebook, media, research, partnerships, general questions.",Transcript 182-198; Register 2 Contact,/contact exists with all five categories.,Not independently rendered in this audit,Exact match,Low,No change.,None
IA-11,Information architecture,Resources label should not remain ambiguous.,"Transcript 182, 198-210; Register 2 Solutions/Guides","Navigation says Guides; page copy calls it reading room. Route remains /resources, which is acceptable as a technical slug.",Not independently rendered in this audit,Substantially aligned,Low,Keep visible label Guides; no need to change slug unless SEO/domain plan requires it.,None
IA-12,Information architecture,Recommendations must not appear as an unexplained primary destination before products are approved.,Transcript 241-250; Register affiliate,Recommendations appears in mobile nav and footer despite an empty catalog; desktop primary nav omits it.,Not independently rendered in this audit,Partial,Medium,"Keep it discoverable only through Solutions/footer until approved products exist, or clearly label it “How products are reviewed.”",None
HM-01,Homepage,Core premise: “Plastic is not just an environmental problem.”,Transcript 2-10; Register 3 Hero,Exact sentence appears in hero and realization section.,Not independently rendered in this audit,Exact match,Low,Avoid repeating it twice unless rendered hierarchy proves each occurrence has a distinct purpose.,None
HM-02,Homepage,Keep the book line: “The most dangerous pollutant is the one already inside us.”,Register 3 Hero; supplied cover,Exact line appears as hero H1 emphasis and on official cover.,Not independently rendered in this audit,Exact match,Low,No change.,None
HM-03,Homepage,"Remove “From Environmental Crisis to Human Biology,” “Story of Plastics Engine,” and decorative explanation box.",Transcript 9-10; Register 3 Hero,Rejected phrases/box are absent.,Not independently rendered in this audit,Exact match,Low,No change.,None
HM-04,Homepage,Introduce project as physician-led without a caveat wall.,Register 3 Hero,Hero eyebrow and deck identify physician-led project; no large disclaimer in hero.,Not independently rendered in this audit,Exact match,Low,No change.,None
HM-05,Homepage,Clear scroll prompt for older/nontechnical visitors.,Transcript 77-88; Register 3 Hero/Anatomy,Hero has “Enter the body ↓”; anatomy intro explicitly says scroll and select chapters.,Not independently rendered in this audit,Exact match,Low,Verify prompt remains visible and understandable at mobile/tablet.,None
HM-06,Homepage,First-visit welcome video popup with replay; placeholder until filmed.,Transcript 285-302; later user decision; Register 3 Hero,"Accessible first-visit modal, localStorage memory, replay button, focus trap, pending configuration.",Not independently rendered in this audit,Exact match,Low,Replace configuration fields only when final asset arrives.,Dr. Haddad
HM-07,Homepage,"Welcome film should cover who he is, mission, what microplastics are, sources, and why it matters.",Transcript 288-302; Register 3 Hero,"Pending description mentions project purpose and where to begin, but final video content cannot be verified.",Not independently rendered in this audit,Waiting on Dr. Haddad,High,Use a filming brief that explicitly covers all five topics; require captions/transcript/poster.,None
HM-08,Homepage,Home book CTA must work.,Register 3 Hero,Hero uses central CheckoutButton; WooCommerce remains default.,Not independently rendered in this audit,Exact match,Low,Retest in connected preview and live merchant before launch.,External provider
HM-09,Homepage,"Exposure routes: air, water, food, heat/food contact, fast fashion, skincare/cosmetics.",Transcript 89-106; Register 3 Exposure,All six routes appear in homepage source.,Not independently rendered in this audit,Exact match,Low,No change.,None
HM-10,Homepage,Exposure wording must not use ambiguous “routes repeat” / repetition principle.,Transcript 90-108; Register 3 Exposure,Rejected phrases are absent.,Not independently rendered in this audit,Exact match,Low,No change.,None
HM-11,Homepage,Each exposure route should have a representative visual or coherent editorial visual treatment.,Transcript 93-106; Register 3 Exposure,Routes are text-only cards plus a typographic marquee; no route-specific imagery/icons.,Not independently rendered in this audit,Partial,Medium,Add restrained route visuals or a coherent single editorial illustration system; do not create six unrelated stock cards.,None
HM-12,Homepage,Home action preview should be brief and link to Solutions.,Transcript 108-118; Register 3 Exposure,Three-rule preview and single CTA to /solutions.,Not independently rendered in this audit,Exact match,Low,No change.,None
HM-13,Homepage,"Use the Quick Action Card’s authored three core rules: do not heat, store, or drink from plastic.",Transcript 206-210; supplied page 121; Register 3 Exposure,"Homepage uses rewritten rules: use less plastic, keep heat away, replace what you use most.",Not independently rendered in this audit,Contradicted,High,"Use the authored three rules for the compact card, while placing broader “use less plastic” framing above them.",None
HM-14,Homepage,"Lower-page order: action, book, Dr. Haddad, Events & Media, community.",Register 3 Home sections,Current order matches.,Not independently rendered in this audit,Exact match,Low,No change.,None
HM-15,Homepage,"Greatest inheritance quote belongs near lower site/footer, not repeated randomly.",Transcript 303-308; Register 3 Home sections,Quote appears in global footer.,Not independently rendered in this audit,Exact match,Low,Confirm it is not duplicated in multiple page bodies.,None
HM-16,Homepage,Use approved real portrait and media imagery.,Register 3 Home sections,Homepage uses /portrait.webp; approval provenance is not documented in source.,Not independently rendered in this audit,Waiting on Dr. Haddad,High,Confirm portrait approval/rights and replace with final photography if needed.,None
HM-17,Homepage,Avoid excessive repeated headline/copy blocks.,"Transcript 108-112, 417-420, 338-342","Core premise appears in both hero and immediate “realization” section; action framing also appears in hero, action section, and later pages.",Not independently rendered in this audit,Partial,Medium,"During rendered review, test whether the realization section earns its space; remove or merge if it merely restates the hero.",None
HM-18,Homepage,Primary story should stay focused and not become too long.,"Transcript 108-112, 163-180","TEDx removed, action preview shortened, but homepage still contains hero, realization, long anatomy, exposure, action, long book journey, author, media bridge, signup.",Not independently rendered in this audit,Partial,High,Measure scroll length and comprehension; preserve premium anatomy/book but compress any section that repeats a point without new value.,None
AN-01,Anatomy,Chapter 1 full body/circulation with blood finding.,Transcript 13-32; Register 3 Anatomy,"Homepage journey starts with full maternal body, vasculature, and blood study.",Not independently rendered in this audit,Substantially aligned,Medium,Rendered clinical review required; opening context should not imply all later evidence belongs to a pregnant body.,None
AN-02,Anatomy,Chapter 2 recognizable brain with Nature Medicine study.,Transcript 31-32; Register 3 Anatomy,Licensed brain model/fallback and direct source are present.,Not independently rendered in this audit,Substantially aligned,Medium,Verify recognizability and camera transition in rendered preview.,None
AN-03,Anatomy,Chapter 3 actual heart and coronary/vascular context.,"Transcript 14-16, 32-46; Register 3 Anatomy",3D heart and vasculature are included; fallback heart is simplified but recognizable.,Not independently rendered in this audit,Substantially aligned,High,Conduct rendered clinical-art review and improve fallback if it reads as an abstract mass.,None
AN-04,Anatomy,Keep carotid plaque and coronary blood studies distinct.,Transcript 32-46; Register 3 Anatomy,Both studies are separate records and source links within one chapter.,Not independently rendered in this audit,Exact match,Low,No change.,None
AN-05,Anatomy,Do not use unsupported “three times higher” claim.,Transcript 36; Register 3 Anatomy,Current coronary result uses source-derived exact numbers/association and does not display the colloquial claim.,Not independently rendered in this audit,Exact match,Low,No change.,None
AN-06,Anatomy,"Pregnancy scene must show female torso, uterus, fetus, umbilical connection, placenta.","Transcript 18-24, 48-54, 74-76; Register 3 Anatomy","Scene layers include body, pelvis, uterus, fetus, placenta; hero/fallback image shows cutaway.",Not independently rendered in this audit,Substantially aligned,High,"Clinical-art review must confirm registration, umbilical/placental clarity, and biological plausibility.",None
AN-07,Anatomy,Pregnancy and placenta should be one coherent maternal-fetal scene.,Register 3 Anatomy,Homepage combines them into one chapter.,Not independently rendered in this audit,Exact match,Low,No change.,None
AN-08,Anatomy,Ovary must be recognizable and followed by follicular magnification.,Transcript 52-60; Register 3 Anatomy,Current fallback ovary is a generic elongated blob; no follicular magnification/inset exists. 3D model provenance exists but no visual proof of recognizability.,Not independently rendered in this audit,Approximation only,Blocker,Replace with clinically reviewed ovary model/illustration and add a follicle/follicular-fluid magnification.,None
AN-09,Anatomy,Human follicular-fluid study leads; mouse/cell secondary.,Transcript 56-60; Register 3 Anatomy,Human 14-of-18 study leads; mouse work is not foregrounded.,Not independently rendered in this audit,Exact match,Low,No change.,None
AN-10,Anatomy,"Testicular anatomy identifiable to non-scientists, with labels.",Transcript 24-26; Register 3 Anatomy,"3D isolated testis/epididymis atlas exists, but fallback is a low-detail unlabeled form; no visible labels beyond scene caption.",Not independently rendered in this audit,Approximation only,Blocker,Use a reviewed male pelvic or clearly labeled isolated testicular illustration; improve fallback and add labels.,None
AN-11,Anatomy,"Human testicular finding first, methods secondary.",Register 3 Anatomy,Headline/stat/finding lead; method is inside details.,Not independently rendered in this audit,Exact match,Low,No change.,None
AN-12,Anatomy,Chapter 7 exits to action/Science.,Register 3 Anatomy,Explicit exit panel links to Solutions and Science.,Not independently rendered in this audit,Exact match,Low,No change.,None
AN-13,Anatomy,Scroll drives primary story.,"Transcript 13, 77-88; Register 3 Behavior",Scroll progress drives active state and 3D camera.,Not independently rendered in this audit,Exact match,Low,Browser QA still required.,None
AN-14,Anatomy,"Chapter navigation clickable, keyboard, touch.",Transcript 77-88; Register 3 Behavior,Real buttons move to steps and are keyboard/touch operable.,Not independently rendered in this audit,Exact match,Low,Browser QA still required.,None
AN-15,Anatomy,"Scroll, highlighted label, structure, finding stay synchronized.",Register 3 Behavior,"Single active index drives navigation, copy, and scene.",Not independently rendered in this audit,Substantially aligned,Medium,"Rendered interaction QA required for rapid scrolling, resize, and touch.",None
AN-16,Anatomy,Reduced-motion equivalent has same information in stable panels.,Register 3 Behavior,Reduced motion uses image fallback while text remains; no camera motion.,Not independently rendered in this audit,Substantially aligned,High,Test OS reduced motion at all viewports and ensure every stage image is recognizable.,None
AN-17,Anatomy,Use real licensed recognizable models/clinical illustration; no decorative primitives as anatomy.,Register 3 Behavior,"NIH/BodyParts3D/fetal model licenses are documented; particles are decorative, anatomy is model-based. Ovary/testis visual quality remains insufficient.",Not independently rendered in this audit,Partial,High,Complete clinical review and replace weak assets before approval.,None
AN-18,Anatomy,"Each chapter includes caption, finding, meaning, context/limits, direct source.",Register 3 Behavior,All fields are present.,Not independently rendered in this audit,Exact match,Low,No change.,None
SC-01,Science,"Lead with findings, plain language, original sources.",Transcript 277-344; Register 4,Science page starts with finding/stat/meaning; direct sources follow.,Not independently rendered in this audit,Exact match,Low,No change.,None
SC-02,Science,Brain Nature Medicine human tissue finding.,Transcript 31-32; Register 4,Human brain evidence record and direct source included.,Not independently rendered in this audit,Exact match,Low,No change.,None
SC-03,Science,2024 carotid plaque study distinct.,Transcript 32-46; Register 4,Distinct NEJM record.,Not independently rendered in this audit,Exact match,Low,No change.,None
SC-04,Science,Coronary blood/acute heart attack study included accurately.,Transcript 36-46; Register 4,European Heart Journal record included with exact groups and limitation. Publication year corrected to 2026 from primary source.,Not independently rendered in this audit,Exact match,Low,Maintain primary-source date and explain register-year conflict.,None
SC-05,Science,Placenta maternal/fetal-facing context.,Transcript 50-52; Register 4,Counts and side-specific tissue locations are explained.,Not independently rendered in this audit,Exact match,Low,No change.,None
SC-06,Science,Human follicular fluid 14/18 and concentration leads.,Transcript 52-60; Register 4,"14/18 and 2,191 particles/mL included.",Not independently rendered in this audit,Exact match,Low,No change.,None
SC-07,Science,Explain follicular fluid in everyday language.,Register 4,Model note and meaning define it as liquid surrounding/supporting a developing egg.,Not independently rendered in this audit,Exact match,Low,No change.,None
SC-08,Science,Testicular evidence consumer meaning before method.,Register 4,Finding/stat/meaning precede method details.,Not independently rendered in this audit,Exact match,Low,No change.,None
SC-09,Science,Keep reputable WHO/FDA/MD Anderson context only when useful.,"Transcript 277-284, 335-342; Register 4",Three public-health links appear on Science and Resources. They are duplicated across both pages.,Not independently rendered in this audit,Partial,Medium,Keep one purposeful institutional context block per page; avoid repeating the same link set without a new purpose.,None
SC-10,Science,Remove generic “how we are honest/how we verify” sermon before findings.,Transcript 319-320; Register 4,"Findings come first, but a later “editorial standard” section and repeated evidence-boundary modules remain.",Not independently rendered in this audit,Substantially aligned,Medium,Keep a short boundary after findings; remove any redundant meta-writing duplicated in guides/resources/footer.,None
SC-11,Science,"Do not overstate causation, disease, fertility, detox, treatment.",Register 4,Limitations are explicit and no direct treatment claim is made.,Not independently rendered in this audit,Exact match,Low,Maintain scientific review.,None
SC-12,Science,Technical terms explained where they matter.,Register 4,"Follicular fluid, plaque, placenta, and methods are contextualized; some method names remain technical inside expandable details.",Not independently rendered in this audit,Exact match,Low,No change.,None
SO-01,Solutions,First practical message is simply use less plastic.,Transcript 218-240; later user clarification; Register 5,Solutions H1 is “First: use less plastic.”,Not independently rendered in this audit,Exact match,Low,No change.,None
SO-02,Solutions,Avoid multiple adjacent frameworks/checklists.,"Transcript 108-112, 217-240, 417-420","Solutions has hero framing, three rules, one-action planner, detox boundary, and next-links. It is improved but still has two distinct action frameworks (three rules + planner).",Not independently rendered in this audit,Substantially aligned,Medium,Verify rendered flow; keep planner only if it clearly applies the same rules rather than introducing another system.,None
SO-03,Solutions,Choose one realistic change at a time.,Later user clarification; Register clarity,Action planner limits selection to one.,Not independently rendered in this audit,Exact match,Low,No change.,None
SO-04,Solutions,Preserve Dr. Haddad’s 12-action Quick Action Card as authored.,Transcript 206-210; supplied page 121; Register 5,Current quickActions materially rewrites nearly every item and replaces the original three core rules.,Not independently rendered in this audit,Contradicted,Blocker,Publish the authored card faithfully as a branded web/PDF artifact. Add a separate editorial note for items 10-11 rather than silently rewriting the author’s resource.,None
SO-05,Solutions,"Original core rules: do not heat plastic, do not store food in plastic, do not drink from plastic.",Supplied Quick Action Card page 121; Register 3/5,Current rules are different.,Not independently rendered in this audit,Contradicted,High,Restore the authored core rules verbatim in the card and compact homepage message.,None
SO-06,Solutions,Water: avoid plastic bottles.,Transcript 218-224; Quick Action Card item 1; Register 5,"Guides/actions say use reusable glass/stainless when practical, but do not use the direct authored imperative.",Not independently rendered in this audit,Partial,High,"Lead with “Avoid plastic water bottles when practical,” then add access/safety context.",None
SO-07,Solutions,Water: explain reverse osmosis simply where appropriate.,Transcript 218-224; Quick Action Card item 2; Register 5,Water guide discusses membrane filtration and certification but does not clearly name/recommend reverse osmosis in the main actions.,Not independently rendered in this audit,Partial,High,"Add a plain-language reverse-osmosis section with local water, waste, maintenance, and certification context; final claim review required.",Dr. Haddad
SO-08,Solutions,Do not heat/microwave food in plastic.,Transcript 225-230; Quick Action Card item 3; Register 5,Direct guidance appears across actions/guides.,Not independently rendered in this audit,Exact match,Low,No change.,None
SO-09,Solutions,Do not recommend cooling hot food before moving it into plastic storage.,Transcript 229-230; Register 5,The rejected sentence remains verbatim in app/content/guides.ts.,Not independently rendered in this audit,Contradicted,Blocker,"Delete the rejected instruction; replace with glass, ceramic, or stainless-steel storage guidance.",None
SO-10,Solutions,"Use glass, ceramic, or steel for storage.",Transcript 230-234; Quick Action Card item 4; Register 5,Guides recommend these materials but often qualify with “high-frequency” or “when practical.”,Not independently rendered in this audit,Substantially aligned,Medium,"Make the primary sentence direct, then place practical caveats second.",None
SO-11,Solutions,"Kitchen conversion should include tools, plates, cups, spatulas, storage supplies.",Transcript 234-240; Register 5,No dedicated kitchen conversion guide covering utensils/plates/cups exists; current guides focus containers and reheating.,Not independently rendered in this audit,Missing,High,Add a focused kitchen conversion guide and checklist with durability/waste guidance.,None
SO-12,Solutions,"Direct memorable message eliminating single-use cups, plates, and foodware where possible.",Transcript 236-240; Register 5,Current guidance only addresses takeout packaging and reheating; no strong single-use foodware section.,Not independently rendered in this audit,Missing,High,Add a distinct single-use foodware guide/section and link it from Solutions and card.,None
SO-13,Solutions,"Canned/heavily packaged foods included with precise, sourced wording.",Transcript 226; Quick Action Card item 7; Register 5,"Packaging guide mentions polymer can liners and favors less packaging, but avoids the direct “avoid canned” instruction.",Not independently rendered in this audit,Partial,Medium,Draft source-backed can-liner guidance for Dr. Haddad approval; avoid unsupported blanket claims.,Dr. Haddad
SO-14,Solutions,Indoor dust: HEPA and ventilation.,Quick Action Card item 6; Register 5,"Guide includes damp dusting, filtered vacuum, and ventilation.",Not independently rendered in this audit,Exact match,Low,No change.,None
SO-15,Solutions,"Fast fashion/synthetic textiles across home, solutions/guides, affiliates.","Transcript 96-106, 367-370; Register 5","Present on Home, guides, actions, affiliate categories.",Not independently rendered in this audit,Exact match,Low,No change.,None
SO-16,Solutions,"Skincare/cosmetics across home, solutions/guides, affiliates.","Transcript 102-106, 368-372; Register 5","Present on Home, guides, actions, affiliate categories.",Not independently rendered in this audit,Exact match,Low,No change.,None
SO-17,Solutions,People should choose cleaner personal-care products in plain language.,Transcript 370-372,"Current guide emphasizes labels, microbeads, packaging and avoiding fear; it does not define a simple “cleaner product” decision.",Not independently rendered in this audit,Partial,Medium,Add a concrete selection checklist grounded in approved criteria; avoid vague “clean” claims.,None
SO-18,Solutions,Avoid “do not turn precaution into panic” and formula-like language as major sections.,Transcript 373-378; Register 5,"Rejected exact phrase is absent, but “without fear/perfection/panic” messaging recurs across Solutions, Community, Media, About, recommendations, emails.",Not independently rendered in this audit,Partial,High,Remove repeated anti-fear/perfection meta-copy from action paths; keep one proportionate legal/editorial boundary where needed.,None
SO-19,Solutions,12-action card items 10-11 need author attribution/approval rather than unsupported medical promises.,Register 5; supplied card,Current version rewrites them to general exercise/nutrition and explicitly disclaims detox.,Not independently rendered in this audit,Partial,High,Preserve the authored card visually; add an adjacent editorial note that evidence for microplastic “detox” is not established and require Dr. Haddad signoff.,Dr. Haddad
SO-20,Solutions,Printable/downloadable branded Quick Action Card.,Transcript 206-210; Register 5,"Readable web page and print/save-as-PDF button exist, but it is not faithful to the supplied authored card.",Not independently rendered in this audit,Partial,High,Rebuild branded card from the supplied page with accurate wording and accessible live text.,None
BK-01,Book,Maintain premium scroll/read-map journey.,Transcript 149-153; Register 6,BookJourney exists with scroll-driven cover/open spread/page turns and chapter controls.,Not independently rendered in this audit,Substantially aligned,High,"Rendered collision, crop, touch, keyboard, and reduced-motion QA required.",None
BK-02,Book,Use correct published cover with collaborator credit.,Transcript 404-407; supplied cover; Register 6,book-official.webp matches supplied cover and is used on book/product/commerce surfaces.,Not independently rendered in this audit,Exact match,Low,No change.,None
BK-03,Book,Remove redundant book-introduction blocks.,Transcript 411-420; Register 6,"Book page includes hero, premise, journey grid, audience fit, collaborator section, FAQ, and final CTA; homepage includes a long journey. Some repetition remains.",Not independently rendered in this audit,Partial,High,Run a content-purpose pass: each section must add new value; remove the standalone collaborator block and any duplicate premise/audience copy that does not.,None
BK-04,Book,"Desktop composition left book/right title, price, delivery, CTA.",Register 6,Book page source follows left visual/right copy.,Not independently rendered in this audit,Substantially aligned,Medium,Verify at 1440/1280/1024 and fix overlap/crop.,None
BK-05,Book,"Open-spread content must use approved themes/sample, not invented filler.",Register 6,Current read-map copy is editorially invented from general themes; no owner-approved excerpt/sample is available.,Not independently rendered in this audit,Waiting on Dr. Haddad,High,Replace with approved chapter themes or excerpt once permission is provided.,None
BK-06,Book,Reduced-motion stable alternative.,Register 6,Reduced summary exists.,Not independently rendered in this audit,Substantially aligned,Medium,Browser test with reduced motion.,None
BK-07,Book,"FAQ covers digital format, audience, medical boundary, delivery, support, final sale.",Transcript 425-428; Register 6,All topics present.,Not independently rendered in this audit,Exact match,Low,No change.,None
BK-08,Book,Buyer gets download on confirmation and email; recovery/support path.,Transcript 394-403; Register 6 Commerce,Native infrastructure supports success/access/recovery; WooCommerce production route is still external and actual fulfillment is unverified.,Not independently rendered in this audit,Waiting on external provider,Blocker,Test real WooCommerce/native preview flows and confirm download availability beyond email-only access.,None
BK-09,Book,Preserve WooCommerce unless explicit platform replacement.,Register 6 Commerce; later user decision,COMMERCE_MODE defaults to WooCommerce; native Stripe is parked.,Not independently rendered in this audit,Exact match,Low,No change.,None
BK-10,Book,Native checkout infrastructure connected but inactive until approval.,Later user decision,Stripe/D1/R2/Resend infrastructure exists behind mode switch and preview.,Not independently rendered in this audit,Exact match,Low,No change until provider/owner activation.,None
BK-11,Book,"Final price, publication metadata, file, tax/territory require owner approval.",Register 6 Inputs,Price is 9.97; publication date/page count/ISBN/preview are pending; final PDF absent.,Not independently rendered in this audit,Waiting on Dr. Haddad,Blocker,Obtain and insert approved product inputs; run preflight.,None
BK-12,Book,Do not collect cards in application.,Register 6 Commerce,Checkout is provider-hosted.,Not independently rendered in this audit,Exact match,Low,No change.,None
AB-01,About,Hero: Meet the Physician Behind the Movement.,Register 7,Exact wording appears.,Not independently rendered in this audit,Exact match,Low,No change.,None
AB-02,About,Use supplied personal narrative as primary source.,Transcript 123-143; Register 7,Long first-person story is present and appears derived from supplied narrative.,Not independently rendered in this audit,Substantially aligned,Medium,Owner review still required for exact biography.,None
AB-03,About,Narrative arc: cardiology → environmental inquiry → public education.,Register 7,Arc is explicit.,Not independently rendered in this audit,Exact match,Low,No change.,None
AB-04,About,"Philosophy includes science before sensation, curiosity, progress, future generations, causes/prevention, hope.",Register 7,All six principles appear.,Not independently rendered in this audit,Exact match,Low,No change.,None
AB-05,About,Credentials section should be titled Education; remove “Training built for complexity.”,Transcript 442-450; Register 7,Section is titled Education; rejected phrase absent.,Not independently rendered in this audit,Exact match,Low,No change.,None
AB-06,About,Approved education timeline: St. George’s; Jackson Memorial/Health; cardiovascular; electrophysiology; current work after confirmation.,Transcript 448-456; Register 7,"v40.6 follows the higher-authority transcript/Register for public display (St. George’s; Jackson Memorial / Jackson Health), leaves unconfirmed fellowship institutions/dates unstated, and preserves the older conflicting profile source internally.",Not independently rendered in this audit.,Waiting on Dr. Haddad,Blocker,Obtain final written chronology/dates for provenance. Public owner-workflow warning language remains intentionally removed per latest rendered review.,Dr. Haddad
AB-07,About,Current professional work only after confirmation.,Register 7,Page says he continues in cardiology practice and links Baptist Health; no explicit approved current role/timeline block.,Not independently rendered in this audit,Partial,High,Confirm exact current work and add factual wording only after owner approval.,Dr. Haddad
AB-08,About,"Use real approved photographs: portrait, TEDx, reflective nature, workspace; family only with permission.",Register 7,Only portrait/TEDx assets are present; nature/workspace/family assets are absent.,Not independently rendered in this audit,Waiting on Dr. Haddad,High,Collect final approved photo set and rights.,None
AB-09,About,Portrait should be natural/recognizable; blueprint preferred no white coat/stethoscope.,Blueprint Ch.2 6.3; Register 7,About hero uses a real-looking white-coat profile image; homepage uses scrubs portrait.,Not independently rendered in this audit,Partial,Medium,Confirm whether white-coat image is approved; otherwise replace with final professional dark-shirt/scrubs portrait.,None
AB-10,About,Include Explore the Science and Join the Movement actions.,Register 7,Both CTAs appear.,Not independently rendered in this audit,Exact match,Low,No change.,None
AB-11,About,Do not position collaborator as movement participant.,Transcript 421-424,About page does not mention collaborator.,Not independently rendered in this audit,Exact match,Low,No change.,None
AB-12,About,Avoid generic AI credential framing.,Transcript 442-448; Register 7,"Education heading is factual, but some prose (“clinical foundation”) remains editorial; main facts are structured.",Not independently rendered in this audit,Substantially aligned,Low,"Owner edit for tone, but no major issue.",None
MC-01,Media,"Events & Media supports TEDx, news, interviews, podcasts, panels, events.",Transcript 169-182; Register 8,"Page structure supports talk, conversation, press kit, inquiries; no structured inventory for news/panels/events.",Not independently rendered in this audit,Partial,High,"Add content-driven media registry with type, title, date, platform, URL, thumbnail rights, status.",None
MC-02,Media,Use official TEDx video only after owner confirms link.,Transcript 154-162; Register 8,TEDX_VIDEO is hardcoded and shown as “Official video” despite no recorded owner confirmation in package.,Not independently rendered in this audit,Contradicted,Blocker,Set TEDx status to pending until Dr. Haddad confirms exact official URL and rights.,Dr. Haddad
