id,category,requirement,source,v38_evidence,bucket,subtype,severity,remaining_action,blocked_by,prior_v37_2_status
IA-01,Information architecture,Explicit Home navigation and logo returns Home.,Transcript 119-126; Register 2 Home,Desktop/mobile nav include Home and wordmark links to /.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
IA-02,Information architecture,Science is the evidence deep-dive and may repeat anatomy findings.,Transcript 309-344; Register 2 Science,Science page repeats findings with direct sources after homepage anatomy.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
IA-03,Information architecture,Solutions is the action hub and Guides is the deeper library.,"Transcript 113-118, 198-213; Register 2 Solutions/Guides",Header labels Solutions and Guides; /solutions links to /resources and Quick Action Card.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
IA-04,Information architecture,Dedicated book page.,Transcript 145-153; Register 2 Book,"/homo-plasticus exists with cover, price, CTA, FAQ, support.",1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
IA-05,Information architecture,Dedicated Dr. Haddad/About page.,Transcript 123-143; Register 2 About,/about-dr-elie-haddad exists and is in navigation.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
IA-06,Information architecture,"Events & Media destination, not TEDx-only.",Transcript 165-182; Register 2 Media,/media exists; navigation says Events & Media.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
IA-07,Information architecture,TEDx should not be a large homepage section; it belongs under Media.,Transcript 297-302; later explicit decision; Register conflict rule,Homepage has only a generic Events & Media bridge; TEDx-specific content is on /media.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
IA-08,Information architecture,Community contains signup and movement actions.,Transcript 457-470; Register 2 Community,/community includes signup and Learn/Reduce/Share/Advocate pillars.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
IA-09,Information architecture,Community should offer a discoverable inquiry/contact path.,Transcript 483-486; Register 2 Community,v38 Community contains a visible “Ask a question” section linking to /contact and /media.,1 — Done and proven,Source/structure proven,Medium,None.,None,Missing
IA-10,Information architecture,"Separate Contact route for ebook, media, research, partnerships, general questions.",Transcript 182-198; Register 2 Contact,/contact exists with all five categories.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
IA-11,Information architecture,Resources label should not remain ambiguous.,"Transcript 182, 198-210; Register 2 Solutions/Guides","Navigation says Guides; page copy calls it reading room. Route remains /resources, which is acceptable as a technical slug.",1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Substantially aligned
IA-12,Information architecture,Recommendations must not appear as an unexplained primary destination before products are approved.,Transcript 241-250; Register affiliate,"Recommendations is not in primary navigation; the footer labels it “Product review standard,” and the public page shows the review-queue state with no products.",1 — Done and proven,Source/structure proven,Medium,None until approved products exist.,None,Partial
HM-01,Homepage,"Preserve the project premise that plastic is not only an environmental issue, but do not force that setup line into the first-screen hero when it makes the opening too wordy; the later 2026-08-07 local visual review explicitly removed it from the hero.",Transcript 2-10; Register 3 Hero; user local homepage visual review 2026-08-07,v40 removes “Plastic is not just an environmental problem.” from the first-screen hero after direct local review while preserving the broader project premise in the evidence/action narrative and keeping the book line as the H1.,1 — Done and proven,Source/structure proven,Low,Regression-protect the shorter hero. Do not re-add the removed setup line to the hero unless a later explicit owner/user decision asks for it.,None,Exact match
HM-02,Homepage,Keep the book line: “The most dangerous pollutant is the one already inside us.”,Register 3 Hero; supplied cover,Exact line appears as hero H1 emphasis and on official cover.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
HM-03,Homepage,"Remove “From Environmental Crisis to Human Biology,” “Story of Plastics Engine,” and decorative explanation box.",Transcript 9-10; Register 3 Hero,Rejected phrases/box are absent.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
HM-04,Homepage,Introduce project as physician-led without a caveat wall.,Register 3 Hero,Hero eyebrow and deck identify physician-led project; no large disclaimer in hero.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
HM-05,Homepage,Clear scroll prompt for older/nontechnical visitors.,Transcript 77-88; Register 3 Hero/Anatomy,Hero has “Enter the body ↓”; anatomy intro explicitly says scroll and select chapters.,2 — Our work remains,Built; rendered/interaction/visual proof still required,Low,Verify prompt remains visible and understandable at mobile/tablet.,None,Exact match
HM-06,Homepage,First-visit welcome video popup with replay; placeholder until filmed.,Transcript 285-302; later user decision; Register 3 Hero,First-visit modal/replay/focus/scroll-lock behavior is present in source and passes UI audit; browser proof is still required.,2 — Our work remains,Built; rendered/interaction/visual proof still required,Low,"Verify first visit, dismissal memory, replay, mobile, focus return, and reduced motion in the Sites preview.",None,Exact match
HM-07,Homepage,"Welcome film should cover who he is, mission, what microplastics are, sources, and why it matters.",Transcript 288-302; Register 3 Hero,User supplied the welcome MP4 on 2026-08-08. v40.9 integrates a web-optimized H.264/AAC derivative and poster into the first-visit/replay modal and Events & Media. The asset is no longer pending; content-brief verification plus captions/transcript remain to close.,2 — Our work remains,Built; rendered/interaction/visual proof still required,High,Render/test the real film on desktop/tablet/mobile; verify the spoken content against the five-point welcome brief; create or verify captions/transcript before production signoff.,None for the supplied film asset; captions/transcript/content verification still required,Superseded by supplied welcome film; proof remains
HM-08,Homepage,Home book CTA must work.,"Transcript 384-403, 489-490; Register 3 Hero",Hero uses central CheckoutButton; WooCommerce remains default.,2 — Our work remains,Built; rendered/interaction/visual proof still required,Low,Retest in connected preview and live merchant before launch.,None,Exact match
HM-09,Homepage,"Homepage must cover six clear exposure concepts: air, water, food/storage, heat around food, fast fashion/synthetic textiles, and skincare/cosmetics. Labels may be simplified when the concepts stay distinct.",Transcript 89-106; Register 3 Exposure; user local homepage visual review 2026-08-07,"v40 renders Air, Water, Food storage, Heat, Fast fashion, and Skincare and cosmetics. The user explicitly split Food storage from Heat to remove the prior Food / Heat-and-food-contact redundancy.",1 — Done and proven,Source/structure proven,Low,Keep all six concepts represented; rendered proof must confirm Food storage and Heat read as distinct rather than duplicative.,None,Exact match
HM-10,Homepage,Exposure wording must not use ambiguous “routes repeat” / repetition principle.,Transcript 90-108; Register 3 Exposure,Rejected phrases are absent.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
HM-11,Homepage,"Each exposure route needs a clear representative visual and readable copy; examples from the meeting include a person breathing for air, ocean/plastic bottle for water, and plastic-packaged food for food, plus fast fashion and skincare/cosmetics.",Transcript 90-106; Register 3 Exposure; later clarification preserved in v39.1,v39.1 added route-specific editorial SVGs and 16px body copy. v40 keeps those visuals and relabels the overlapping Food/Heat pair as Food storage and Heat after local review.,2 — Our work remains,Built; rendered/interaction/visual proof still required,Medium,"Render all six v40 exposure cards at target widths; verify each visual reads immediately, Food storage and Heat feel distinct, text remains readable, and no icon feels abstract or decorative-only.",None,Partial
HM-12,Homepage,Home action preview should be brief and link to Solutions.,Transcript 108-118; Register 3 Exposure,"v40 keeps the Home action bridge brief, shows the canonical three rules once on the left, removes duplicate rule prose on the right, and retains a single CTA to /solutions.",1 — Done and proven,Source/structure proven,Low,None beyond regression protection and post-fix visual spacing/alignment proof.,None,Exact match
HM-13,Homepage,"Use the Quick Action Card’s authored three core rules: do not heat, store, or drink from plastic.",Transcript 206-210; supplied page 121; Register 3 Exposure,Homepage and Solutions now use the exact three core rules from page 121.,1 — Done and proven,Source/structure proven,High,None.,None,Contradicted
HM-14,Homepage,"Lower-page order: action, book, Dr. Haddad, Events & Media, community.",Register 3 Home sections,Current order matches.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
HM-15,Homepage,"Greatest inheritance quote belongs near lower site/footer, not repeated randomly.",Transcript 303-308; Register 3 Home sections,Quote appears in global footer.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
HM-16,Homepage,Use approved real portrait and media imagery.,Register 3 Home sections,Homepage uses /portrait.webp; approval provenance is not documented in source.,3 — Blocked on owner/provider/source input,Owner decision/asset/approval required,High,Confirm portrait approval/rights and replace with final photography if needed.,Dr. Haddad / authorized owner,Waiting on Dr. Haddad
HM-17,Homepage,Avoid excessive repeated headline/copy blocks.,"Transcript 108-112, 417-420, 338-342","Core premise appears in both hero and immediate “realization” section; action framing also appears in hero, action section, and later pages.",2 — Our work remains,Built; rendered/interaction/visual proof still required,Medium,"During rendered review, test whether the realization section earns its space; remove or merge if it merely restates the hero.",None,Partial
HM-18,Homepage,Primary story should stay focused and not become too long.,"Transcript 108-112, 163-180","TEDx removed, action preview shortened, but homepage still contains hero, realization, long anatomy, exposure, action, long book journey, author, media bridge, signup.",2 — Our work remains,Built; rendered/interaction/visual proof still required,High,Measure scroll length and comprehension; preserve premium anatomy/book but compress any section that repeats a point without new value.,None,Partial
HM-19,Homepage,"The real portrait welcome-film popup must fit inside one standard browser viewport without requiring the visitor to scroll the modal; the complete video frame, close control, welcome copy, Play control, and Continue control must remain visible. Extreme zoom or genuinely tiny effective viewports may scroll only as an accessibility escape hatch.",Rendered user review 2026-08-08; screenshot of v40.9 welcome dialog,"v40.10 caps the desktop dialog to 720px / viewport height, uses a dedicated portrait-film column, removes the inherited 640px media minimum, compacts copy spacing, keeps tablet two-column, and uses bounded mobile rows. A tiny-viewport/zoom exception preserves access to every control.",2 — Our work remains,Built; rendered/interaction/visual proof still required,High,"Render the first-visit and replay dialog at laptop, tablet, mobile, 200% zoom, and reduced-motion states. At standard viewports confirm no modal/page scrolling is needed and the full portrait frame plus all controls are visible; at extreme zoom confirm the accessibility scroll escape hatch keeps every control reachable.",None,New from rendered review
AN-01,Anatomy,Chapter 1 full body/circulation with blood finding.,"Transcript 14-24, 74-88; Register 3 Anatomy","Homepage journey starts with full maternal body, vasculature, and blood study.",2 — Our work remains,Built; rendered/interaction/visual proof still required,Medium,Rendered clinical review required; opening context should not imply all later evidence belongs to a pregnant body.,None,Substantially aligned
AN-02,Anatomy,Chapter 2 recognizable brain with Nature Medicine study.,Transcript 31-32; Register 3 Anatomy,Licensed brain model/fallback and direct source are present.,2 — Our work remains,Built; rendered/interaction/visual proof still required,Medium,Verify recognizability and camera transition in rendered preview.,None,Substantially aligned
AN-03,Anatomy,Chapter 3 actual heart and coronary/vascular context.,"Transcript 14-16, 32-46; Register 3 Anatomy",3D heart and vasculature are included; fallback heart is simplified but recognizable.,2 — Our work remains,Built; rendered/interaction/visual proof still required,High,Conduct rendered clinical-art review and improve fallback if it reads as an abstract mass.,None,Substantially aligned
AN-04,Anatomy,Keep carotid plaque and coronary blood studies distinct.,Transcript 32-46; Register 3 Anatomy,Both studies are separate records and source links within one chapter.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
AN-05,Anatomy,Do not use unsupported “three times higher” claim.,Transcript 36; Register 3 Anatomy,Current coronary result uses source-derived exact numbers/association and does not display the colloquial claim.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
AN-06,Anatomy,"Pregnancy scene must show female torso, uterus, fetus, umbilical connection, placenta.","Transcript 18-24, 48-54, 74-76; Register 3 Anatomy","Scene layers include body, pelvis, uterus, fetus, placenta; hero/fallback image shows cutaway.",2 — Our work remains,Built; rendered/interaction/visual proof still required,High,"Clinical-art review must confirm registration, umbilical/placental clarity, and biological plausibility.",None,Substantially aligned
AN-07,Anatomy,Pregnancy and placenta should be one coherent maternal-fetal scene.,Register 3 Anatomy,Homepage combines them into one chapter.,2 — Our work remains,Built; rendered/interaction/visual proof still required,Low,No change.,None,Exact match
AN-08,Anatomy,Ovary must be recognizable and followed by follicular magnification.,Transcript 52-60; Register 3 Anatomy,v38 replaced the rejected generic fallback with a labeled ovary/follicle cross-section and follicular-fluid context. Source audit passes; recognizability and clinical quality are unproven in the rendered site.,2 — Our work remains,Built; rendered/interaction/visual proof still required,Blocker,"Render at all target viewports; confirm ovary, follicles, developing egg, and follicular-fluid magnification are immediately understandable; revise after clinical review if needed.",None,Approximation only
AN-09,Anatomy,Human follicular-fluid study leads; mouse/cell secondary.,Transcript 56-60; Register 3 Anatomy,Human 14-of-18 study leads; mouse work is not foregrounded.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
AN-10,Anatomy,"Testicular anatomy identifiable to non-scientists, with labels.",Transcript 24-26; Register 3 Anatomy,v38 replaced the low-detail fallback with a labeled testis/epididymis view generated from licensed BodyParts3D surfaces.,2 — Our work remains,Built; rendered/interaction/visual proof still required,Blocker,Render at all target viewports and obtain clinical/anatomy approval; revise if a non-scientist cannot identify the structure.,None,Approximation only
AN-11,Anatomy,"Human testicular finding first, methods secondary.",Register 3 Anatomy,Headline/stat/finding lead; method is inside details.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
AN-12,Anatomy,Chapter 7 exits to action/Science.,Register 3 Anatomy,Explicit exit panel links to Solutions and Science.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
AN-13,Anatomy,Scroll drives primary story.,"Transcript 13, 77-88; Register 3 Behavior",Scroll progress drives active state and 3D camera.,2 — Our work remains,Built; rendered/interaction/visual proof still required,Low,Browser QA still required.,None,Exact match
AN-14,Anatomy,"Chapter navigation clickable, keyboard, touch.",Transcript 77-88; Register 3 Behavior,Real buttons move to steps and are keyboard/touch operable.,2 — Our work remains,Built; rendered/interaction/visual proof still required,Low,Browser QA still required.,None,Exact match
AN-15,Anatomy,"Scroll, highlighted label, structure, finding stay synchronized.",Register 3 Behavior,"Single active index drives navigation, copy, and scene.",2 — Our work remains,Built; rendered/interaction/visual proof still required,Medium,"Rendered interaction QA required for rapid scrolling, resize, and touch.",None,Substantially aligned
AN-16,Anatomy,Reduced-motion equivalent has same information in stable panels.,Register 3 Behavior,Reduced motion uses image fallback while text remains; no camera motion.,2 — Our work remains,Built; rendered/interaction/visual proof still required,High,Test OS reduced motion at all viewports and ensure every stage image is recognizable.,None,Substantially aligned
AN-17,Anatomy,Use real licensed recognizable models/clinical illustration; no decorative primitives as anatomy.,Register 3 Behavior,"NIH/BodyParts3D/fetal model licenses are documented; particles are decorative, anatomy is model-based. Ovary/testis visual quality remains insufficient.",2 — Our work remains,Built; rendered/interaction/visual proof still required,High,Complete clinical review and replace weak assets before approval.,None,Partial
AN-18,Anatomy,"Each chapter includes caption, finding, meaning, context/limits, direct source.",Register 3 Behavior,All fields are present.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
SC-01,Science,"Lead with findings, plain language, original sources.",Transcript 277-344; Register 4,Science page starts with finding/stat/meaning; direct sources follow.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
SC-02,Science,Brain Nature Medicine human tissue finding.,Transcript 31-32; Register 4,Human brain evidence record and direct source included.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
SC-03,Science,2024 carotid plaque study distinct.,Transcript 32-46; Register 4,Distinct NEJM record.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
SC-04,Science,Coronary blood/acute heart attack study included accurately.,Transcript 36-46; Register 4,European Heart Journal record included with exact groups and limitation. Publication year corrected to 2026 from primary source.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
SC-05,Science,Placenta maternal/fetal-facing context.,Transcript 50-52; Register 4,Counts and side-specific tissue locations are explained.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
SC-06,Science,Human follicular fluid 14/18 and concentration leads.,Transcript 52-60; Register 4,"14/18 and 2,191 particles/mL included.",1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
SC-07,Science,Explain follicular fluid in everyday language.,Register 4,Model note and meaning define it as liquid surrounding/supporting a developing egg.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
SC-08,Science,Testicular evidence consumer meaning before method.,Register 4,Finding/stat/meaning precede method details.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
SC-09,Science,Keep reputable WHO/FDA/MD Anderson context only when useful.,"Transcript 277-284, 335-342; Register 4",v39 keeps the purposeful institutional source block on Science and removes the duplicated WHO/FDA/MD Anderson-style source list from Resources.,1 — Done and proven,Source/structure proven,Medium,Protect from regression; future institutional links should add a distinct reader purpose.,None,Partial
SC-10,Science,Remove generic “how we are honest/how we verify” sermon before findings.,Transcript 319-320; Register 4,v39 removes the standalone Science editorial-standard sermon while retaining concise study-specific limitations after findings; no generic verification preamble blocks the primary reading path.,1 — Done and proven,Source/structure proven,Medium,Protect finding-first ordering and keep future methodology/meta copy subordinate.,None,Substantially aligned
SC-11,Science,"Do not overstate causation, disease, fertility, detox, treatment.",Register 4,Limitations are explicit and no direct treatment claim is made.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
SC-12,Science,Technical terms explained where they matter.,Register 4,"Follicular fluid, plaque, placenta, and methods are contextualized; some method names remain technical inside expandable details.",1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
SO-01,Solutions,First practical message is simply use less plastic.,"Transcript 200-216, 218-240; later user clarification; Register 5",Solutions H1 is “First: use less plastic.”,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
SO-02,Solutions,Avoid multiple adjacent frameworks/checklists.,"Transcript 108-112, 217-240, 417-420",v39 limits the planner to the same three core-rule applications and explicitly frames it as choosing one of those rules rather than introducing another six-step system.,2 — Our work remains,Built; rendered/interaction/visual proof still required,Medium,"Rendered comprehension review: confirm the three-rule block and one-choice planner read as one hierarchy, not two competing frameworks.",None,Substantially aligned
SO-03,Solutions,Choose one realistic change at a time.,Later user clarification; Register clarity,Action planner limits selection to one.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
SO-04,Solutions,Preserve Dr. Haddad’s 12-action Quick Action Card as authored.,Transcript 206-210; supplied page 121; Register 5,v38 reproduces all 12 supplied Quick Action Card actions as live text in source order.,1 — Done and proven,Source/structure proven,Blocker,"None, except owner review of contested clinical language tracked separately in SO-19.",None,Contradicted
SO-05,Solutions,"Original core rules: do not heat plastic, do not store food in plastic, do not drink from plastic.",Supplied Quick Action Card page 121; Register 3/5,The exact three book rules are restored verbatim.,1 — Done and proven,Source/structure proven,High,None.,None,Contradicted
SO-06,Solutions,Water: avoid plastic bottles.,Transcript 218-224; Quick Action Card item 1; Register 5,Water guide and Solutions now lead with avoiding routine plastic bottles and using glass/stainless steel.,1 — Done and proven,Source/structure proven,High,None.,None,Partial
SO-07,Solutions,Water: explain reverse osmosis simply where appropriate.,Transcript 218-224; Quick Action Card item 2; Register 5,Reverse osmosis is now named and explained plainly in the guide while retaining local-water/maintenance context.,3 — Blocked on owner/provider/source input,Owner decision/asset/approval required,High,Dr. Haddad approves final clinical/product-guidance wording before launch.,Dr. Haddad / authorized owner,Partial
SO-08,Solutions,Do not heat/microwave food in plastic.,Transcript 225-230; Quick Action Card item 3; Register 5,Direct guidance appears across actions/guides.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
SO-09,Solutions,Do not recommend cooling hot food before moving it into plastic storage.,Transcript 229-230; Register 5,The explicitly rejected “cool then transfer to plastic storage” sentence is absent; the guide now directs routine storage to glass/ceramic/stainless steel.,1 — Done and proven,Source/structure proven,Blocker,None.,None,Contradicted
SO-10,Solutions,"Use glass, ceramic, or steel for storage.",Transcript 230-234; Quick Action Card item 4; Register 5,Guides recommend these materials but often qualify with “high-frequency” or “when practical.”,1 — Done and proven,Source/structure proven,Medium,None beyond regression protection.,None,Substantially aligned
SO-11,Solutions,"Kitchen conversion should include tools, plates, cups, spatulas, storage supplies.",Transcript 234-240; Register 5,"A dedicated plastic-kitchen-conversion guide covers storage, drinkware, utensils, plates, cups, and common hot-food tools.",1 — Done and proven,Source/structure proven,High,None.,None,Missing
SO-12,Solutions,"Direct memorable message eliminating single-use cups, plates, and foodware where possible.",Transcript 236-240; Register 5,"A dedicated single-use-plastic-foodware guide and Solutions bridge cover cups, plates, utensils, takeout containers, and recurring event/meal routines.",1 — Done and proven,Source/structure proven,High,None.,None,Missing
SO-13,Solutions,"Canned/heavily packaged foods included with precise, sourced wording.",Transcript 226; Quick Action Card item 7; Register 5,"Packaging guide mentions polymer can liners and favors less packaging, but avoids the direct “avoid canned” instruction.",3 — Blocked on owner/provider/source input,Owner decision/asset/approval required,Medium,Draft source-backed can-liner guidance for Dr. Haddad approval; avoid unsupported blanket claims.,Dr. Haddad / authorized owner,Partial
SO-14,Solutions,Indoor dust: HEPA and ventilation.,Quick Action Card item 6; Register 5,"Guide includes damp dusting, filtered vacuum, and ventilation.",1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
SO-15,Solutions,"Fast fashion/synthetic textiles across home, solutions/guides, affiliates.","Transcript 96-106, 367-370; Register 5","Present on Home, guides, actions, affiliate categories.",1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
SO-16,Solutions,"Skincare/cosmetics across home, solutions/guides, affiliates.","Transcript 102-106, 368-372; Register 5","Present on Home, guides, actions, affiliate categories.",1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
SO-17,Solutions,People should choose cleaner personal-care products in plain language.,Transcript 370-372,"v39 personal-care guide now leads with a concrete daily-product decision: avoid deliberately added plastic beads/glitter-like particles, prefer clear ingredient information and lower-plastic packaging where practical, and preserve medically important products.",1 — Done and proven,Source/structure proven,Medium,Protect the practical criteria from vague “clean” marketing claims.,None,Partial
SO-18,Solutions,Avoid “do not turn precaution into panic” and formula-like language as major sections.,Transcript 373-378; Register 5,"v39 removes repeated anti-panic/perfection framing from the primary Solutions, Community, Media-topic, footer, food-packaging, kitchen-conversion, and book-action paths. Remaining boundary language is confined to appropriate editorial/About contexts.",1 — Done and proven,Source/structure proven,High,Protect action paths from reintroducing caution-first or formula-like frameworks.,None,Partial
SO-19,Solutions,12-action card items 10-11 need author attribution/approval rather than unsupported medical promises.,Register 5; supplied card,The authored sauna/detox-food/health-protection wording is preserved with visible evidence-boundary notes rather than silently rewritten.,3 — Blocked on owner/provider/source input,Owner decision/asset/approval required,High,Dr. Haddad provides final clinical/editorial approval or revised author wording.,Dr. Haddad / authorized owner,Partial
SO-20,Solutions,Printable/downloadable branded Quick Action Card.,Transcript 206-210; Register 5,Quick Action Card has a Print/Save as PDF control and accessible web version.,1 — Done and proven,Source/structure proven,High,None.,None,Partial
BK-01,Book,Maintain premium scroll/read-map journey.,Transcript 149-153; Register 6,BookJourney exists with scroll-driven cover/open spread/page turns and chapter controls.,2 — Our work remains,Built; rendered/interaction/visual proof still required,High,"Rendered collision, crop, touch, keyboard, and reduced-motion QA required.",None,Substantially aligned
BK-02,Book,Use correct published cover with collaborator credit.,Transcript 404-407; supplied cover; Register 6,book-official.webp matches supplied cover and is used on book/product/commerce surfaces.,1 — Done and proven,Source/structure proven,Low,None beyond regression protection.,None,Exact match
BK-03,Book,Remove redundant book-introduction blocks.,Transcript 411-420; Register 6,"v39 merges duplicate book premise/audience material into one “Why this book” section, removes the standalone collaborator profile treatment, and preserves distinct hero, inquiry journey, FAQ, and conversion roles.",2 — Our work remains,Built; rendered/interaction/visual proof still required,High,Rendered content-purpose review: confirm each surviving book section adds new value and the page does not feel repetitive at target viewports.,None,Partial
BK-04,Book,"Desktop composition left book/right title, price, delivery, CTA.",Register 6,Book page source follows left visual/right copy.,2 — Our work remains,Built; rendered/interaction/visual proof still required,Medium,Verify at 1440/1280/1024 and fix overlap/crop.,None,Substantially aligned
BK-05,Book,"Open-spread content must use approved themes/sample, not invented filler.",Register 6,Current read-map copy is editorially invented from general themes; no owner-approved excerpt/sample is available.,3 — Blocked on owner/provider/source input,Owner decision/asset/approval required,High,Replace with approved chapter themes or excerpt once permission is provided.,Dr. Haddad / authorized owner,Waiting on Dr. Haddad
